,p_ESTACAO,ESTACAO,duration_mean,duration_median,duration_std,duration_count,rail_distance
0,AE,AM,87.0,87.0,0.0,17,0.7
1,AE,RM,124.0,124.0,0.0,17,1.0
2,AF,AS,134.0,134.0,0.0,20,1.2
3,AF,PO,94.0,94.0,0.0,20,0.9
4,AH,CM,109.0,109.0,0.0,20,0.8
5,AH,LA,97.0,97.0,0.0,20,0.6
6,AL,CG,181.0,181.0,0.0,17,1.5
7,AL,RM,87.0,87.0,0.0,17,0.5
8,AM,AE,89.0,89.0,0.0,17,0.7
9,AM,AN,141.0,141.0,0.0,17,1.2
10,AM,OL,109.0,109.0,0.0,15,0.8
11,AM,SA,121.0,121.0,0.0,15,1.3
12,AN,AM,136.0,136.0,0.0,17,1.2
13,AN,IN,67.0,67.0,0.0,17,0.5
14,AP,EN,121.0,121.0,0.0,15,1.4
15,AS,AF,141.0,141.0,0.0,20,1.2
16,AS,RB,124.0,124.0,0.0,20,0.9
17,AV,MP,87.0,87.0,0.0,20,0.6
18,AV,RE,76.0,76.0,0.0,20,0.5
19,AX,LU,92.0,92.0,0.0,13,0.9
20,AX,SR,170.0,170.0,0.0,13,1.7
21,BC,CS,117.0,117.0,0.0,17,0.7
22,BC,RE,94.0,94.0,0.0,20,0.7
23,BC,RO,79.0,79.0,0.0,17,0.8
24,BC,TP,107.0,107.0,0.0,20,0.9
25,BV,CH,107.0,107.0,0.0,15,0.8
26,BV,OL,112.0,112.0,0.0,15,1.3
27,CA,CM,103.0,103.0,0.0,20,0.9
28,CA,PO,95.0,95.0,0.0,20,0.7
29,CG,AL,184.0,184.0,0.0,17,1.5
30,CG,CU,149.64285714285714,152.0,8.819620983110005,14,0.8
31,CG,QC,128.0,128.0,0.0,13,0.9
32,CG,TE,108.0,108.0,0.0,17,0.7
33,CH,BV,105.0,105.0,0.0,15,0.8
34,CH,OS,91.0,91.0,0.0,15,0.7
35,CM,AH,104.0,104.0,0.0,20,0.8
36,CM,CA,115.0,115.0,0.0,20,0.9
37,CP,EC,95.0,95.0,0.0,14,0.7
38,CP,SA,92.0,92.0,0.0,14,0.7
39,CR,OR,104.0,104.0,0.0,15,0.8
40,CR,OS,90.0,90.0,0.0,15,0.6
41,CS,BC,84.0,84.0,0.0,17,0.7
42,CU,CG,145.0,145.0,0.0,14,0.8
43,CU,EC,142.0,142.0,0.0,14,1.1
44,EC,CP,96.0,96.0,0.0,14,0.7
45,EC,CU,144.0,144.0,0.0,14,1.1
46,EN,AP,144.0,144.0,0.0,15,1.4
47,EN,MO,131.0,131.0,0.0,15,0.8
48,IN,AN,67.0,67.0,0.0,17,0.5
49,IN,MM,82.0,82.0,0.0,17,0.7
50,JZ,LA,106.0,106.0,0.0,20,1.1
51,JZ,PE,104.0,104.0,0.0,20,0.8
52,LA,AH,92.0,92.0,0.0,20,0.6
53,LA,JZ,106.0,106.0,0.0,20,1.1
54,LU,AX,93.0,93.0,0.0,13,0.9
55,LU,QC,93.0,93.0,0.0,13,1.0
56,MM,IN,83.0,83.0,0.0,17,0.7
57,MM,RO,76.0,76.0,0.0,17,0.3
58,MO,EN,128.0,128.0,0.0,15,0.8
59,MO,OR,117.0,117.0,0.0,15,1.0
60,MP,AV,87.0,87.0,0.0,20,0.6
61,MP,PA,86.0,86.0,0.0,20,0.6
62,MP,PI,94.0,94.0,0.0,14,0.7
63,MP,RA,94.0,94.0,0.0,14,0.7
64,OD,SR,92.0,92.0,0.0,13,1.0
65,OL,AM,109.0,109.0,0.0,15,0.8
66,OL,BV,111.0,111.0,0.0,15,1.3
67,OR,CR,107.0,107.0,0.0,15,0.8
68,OR,MO,117.0,117.0,0.0,15,1.0
69,OS,CH,92.0,92.0,0.0,15,0.7
70,OS,CR,89.0,89.0,0.0,15,0.6
71,PA,MP,83.0,83.0,0.0,20,0.6
72,PA,SS,83.0,83.0,0.0,20,0.7
73,PE,JZ,107.0,107.0,0.0,20,0.8
74,PE,SS,97.0,97.0,0.0,20,0.7
75,PI,MP,91.0,91.0,0.0,14,0.7
76,PI,SA,76.0,76.0,0.0,14,0.7
77,PO,AF,90.0,90.0,0.0,20,0.9
78,PO,CA,95.0,95.0,0.0,20,0.7
79,QC,CG,111.0,111.0,0.0,13,0.9
80,QC,LU,91.0,91.0,0.0,13,1.0
81,RA,MP,68.0,68.0,0.0,14,0.7
82,RB,AS,84.0,84.0,0.0,20,0.9
83,RE,AV,70.0,70.0,0.0,20,0.5
84,RE,BC,86.0,86.0,0.0,20,0.7
85,RM,AE,119.0,119.0,0.0,17,1.0
86,RM,AL,81.0,81.0,0.0,17,0.5
87,RO,BC,74.0,74.0,0.0,17,0.8
88,RO,MM,76.0,76.0,0.0,17,0.3
89,SA,AM,120.0,120.0,0.0,15,1.3
90,SA,CP,94.0,94.0,0.0,14,0.7
91,SA,PI,85.0,85.0,0.0,14,0.7
92,SA,SS,97.0,97.0,0.0,15,0.6
93,SP,TP,130.0,130.0,0.0,20,1.1
94,SR,AX,173.0,173.0,0.0,13,1.7
95,SR,OD,116.0,116.0,0.0,13,1.0
96,SS,PA,82.0,82.0,0.0,20,0.7
97,SS,PE,101.0,101.0,0.0,20,0.7
98,SS,SA,87.0,87.0,0.0,15,0.6
99,TE,CG,73.0,73.0,0.0,17,0.7
100,TP,BC,102.0,102.0,0.0,20,0.9
101,TP,SP,160.0,160.0,0.0,20,1.1
