,TOTAL_SECONDS_E,TOTAL_SECONDS_S,ESTACAO_E_m,ESTACAO_S_m
0,66962,67669,AN,AE
1,65832,66441,QC,EC
2,43619,44773,RM,CS
3,74537,74741,CU,EC
4,52275,55153,AS,CG
5,63780,64108,SA,EC
6,33541,34643,JZ,BC
7,71784,72226,CU,EC
8,68619,68855,CU,CG
9,63136,63743,TE,LU
10,81393,82442,CU,OD
11,26574,27580,AF,AH
12,29332,30472,OD,CP
13,63662,65205,TP,AS
14,65404,65814,MP,RE
15,36221,38224,SP,OR
16,30939,33005,CS,AX
17,33470,35047,EC,OL
18,74662,76105,RE,AF
19,35772,36601,CS,AM
20,58140,60507,OR,TP
21,30651,32370,OR,RO
22,63991,64525,AM,AN
23,25684,26627,AX,EC
24,67334,68268,OR,EN
25,65907,66410,OR,BV
26,29384,29969,AX,SR
27,56682,57715,AE,TP
28,29158,31632,AP,CS
29,23789,24860,TP,AE
30,54857,55187,MP,SA
31,65182,65819,MP,RE
32,67234,68019,MP,CS
33,63187,63976,SS,JZ
34,54871,56164,OR,AM
35,31576,32611,BC,EC
36,75926,77412,BC,CP
37,39590,41765,TP,OR
38,75855,76763,MP,SP
39,49179,51232,BC,AP
40,65081,66752,SA,CS
41,72663,74087,AM,CM
42,62522,63779,BC,CG
43,60875,61722,AE,CS
44,62002,62348,RO,BC
45,70315,71129,OR,SA
46,65931,67278,IN,JZ
47,75987,76968,SA,LA
48,64599,65495,AM,CG
49,45532,45896,OR,MO
50,34606,35125,BV,OR
51,49696,51591,SR,PE
52,48305,49606,AH,TP
53,54317,54775,LA,AH
54,37017,39015,AN,EN
55,60508,62470,CS,OR
56,68864,69975,SS,AN
57,46970,47509,AL,CG
58,46059,46445,CU,EC
59,31333,31963,RB,CM
60,41572,42072,JZ,AV
61,50253,52962,JZ,AP
62,31094,31446,CH,OR
63,68122,69408,OR,MM
64,36036,36958,AE,CS
65,42922,43908,CG,IN
66,32964,33418,AV,MP
67,44747,45356,MP,JZ
68,61267,63061,OR,CG
69,63841,64366,PI,EC
70,68263,69433,MP,AS
71,32896,34451,EC,OD
72,38780,39891,EC,TE
73,38225,38953,CM,RB
74,41980,43146,MP,IN
75,72313,73527,MP,OR
76,35349,36322,TP,AM
77,28478,28832,JZ,SS
78,73458,74749,BC,CA
79,70844,71253,AL,CG
80,58313,60678,SP,SR
81,79472,80879,CS,CG
82,33425,34143,EC,RA
83,48620,50349,RO,OR
84,66041,68113,RA,OD
85,63208,63565,AV,RE
86,38431,40373,PO,CS
87,23755,24753,BV,SA
88,45418,45896,PE,SS
89,42618,43552,AM,CG
90,54321,55808,OR,SS
